City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Abnub,27.2696,31.1511,53.82,56,0,5.32,EG,2021-12-21 19:32:14
97,Hamadan,34.7992,48.5146,34.3,54,5,13.13,IR,2021-12-21 19:32:14
98,Mashhad,36.297,59.6062,59.14,51,40,6.91,IR,2021-12-21 19:32:14
99,Xichang,27.8964,102.2634,41.9,83,0,1.36,CN,2021-12-21 19:32:15
100,Bambous Virieux,-20.3428,57.7575,79.05,83,75,13.8,MU,2021-12-21 19:32:15
101,Upernavik,72.7868,-56.1549,24.19,72,13,5.5,GL,2021-12-21 19:32:16
102,Bethel,41.3712,-73.414,42.89,56,1,0.0,US,2021-12-21 19:32:16
103,Slave Lake,55.2834,-114.769,17.58,79,90,3.44,CA,2021-12-21 19:32:17
104,Mikhaylovskoye,51.8239,79.7172,21.04,98,88,7.05,RU,2021-12-21 19:32:17
105,Souillac,-20.5167,57.5167,79.18,83,75,13.8,MU,2021-12-21 19:32:18
106,Oktyabrskoye,43.0645,44.7417,30.34,93,99,8.95,RU,2021-12-21 19:32:18
107,Kahului,20.8947,-156.47,71.62,85,40,13.8,US,2021-12-21 19:32:19
108,Nikolskoye,59.7035,30.7861,10.02,95,100,7.14,RU,2021-12-21 19:32:19
109,Tura,25.5198,90.2201,57.69,64,89,3.31,IN,2021-12-21 19:32:20
110,Katsuura,35.1333,140.3,42.91,65,0,7.27,JP,2021-12-21 19:32:20
111,Baruun-Urt,46.6806,113.2792,0.55,91,98,3.98,MN,2021-12-21 19:32:21
112,Port Elizabeth,-33.918,25.5701,69.1,94,20,11.5,ZA,2021-12-21 19:32:21
113,Abaza,52.655,90.0928,14.02,97,89,4.32,RU,2021-12-21 19:32:21
114,Aviles,43.5547,-5.9248,58.39,76,0,5.75,ES,2021-12-21 19:32:22
115,Chicama,-7.8447,-79.1469,64.94,61,15,10.98,PE,2021-12-21 19:32:22
116,Zhigansk,66.7697,123.3711,-51.77,98,100,4.85,RU,2021-12-21 19:32:23
117,Harer,9.3094,42.1258,62.91,67,98,8.52,ET,2021-12-21 19:32:23
118,Coquimbo,-29.9533,-71.3436,69.53,60,0,14.97,CL,2021-12-21 19:32:23
119,Kharp,66.8014,65.8081,-20.33,99,98,4.0,RU,2021-12-21 19:32:24
120,Zima,53.9202,102.0442,-21.71,99,46,2.82,RU,2021-12-21 19:32:24
121,Bukama,-9.2,25.85,70.93,96,100,1.03,CD,2021-12-21 19:32:24
122,Jumla,29.2747,82.1838,31.98,64,17,3.6,NP,2021-12-21 19:32:25
123,Darnah,32.767,22.6367,57.97,71,94,10.78,LY,2021-12-21 19:32:25
124,Andenes,69.3143,16.1194,22.98,74,0,8.05,NO,2021-12-21 19:32:26
125,Martapura,-3.4167,114.85,77.09,94,75,2.3,ID,2021-12-21 19:32:26
126,Lompoc,34.6391,-120.4579,64.13,70,75,8.99,US,2021-12-21 19:27:42
127,Mena,51.5217,32.2157,13.73,72,100,10.42,UA,2021-12-21 19:32:27
128,Ulaanbaatar,47.9077,106.8832,-5.67,77,75,4.47,MN,2021-12-21 19:31:25
129,Caravelas,-17.7125,-39.2481,78.17,76,91,5.5,BR,2021-12-21 19:32:27
130,Mar Del Plata,-38.0023,-57.5575,75.22,91,40,13.0,AR,2021-12-21 19:32:28
131,Faanui,-16.4833,-151.75,79.23,74,100,10.22,PF,2021-12-21 19:32:28
132,Valdosta,30.8327,-83.2785,48.51,95,90,0.0,US,2021-12-21 19:29:36
133,Gamba,-2.65,10.0,78.48,91,100,6.49,GA,2021-12-21 19:32:29
134,Daru,-9.0763,143.2092,78.37,83,92,3.04,PG,2021-12-21 19:32:29
135,Tucupita,9.0622,-62.051,82.26,77,86,6.22,VE,2021-12-21 19:33:30
136,Suntar,62.1444,117.6319,-45.96,99,85,2.51,RU,2021-12-21 19:33:30
137,Wahpeton,46.2652,-96.6059,12.92,79,20,16.11,US,2021-12-21 19:33:31
138,Berbera,10.4396,45.0143,77.65,69,71,3.6,SO,2021-12-21 19:33:31
139,Requena,39.4883,-1.1004,49.51,85,44,4.18,ES,2021-12-21 19:30:46
140,Muscatine,41.4667,-91.1335,41.09,48,1,4.0,US,2021-12-21 19:33:31
141,Purpe,64.4803,76.6897,-3.75,97,91,11.39,RU,2021-12-21 19:33:32
