City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Doha,QA,62.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
145,Itaituba,BR,78.96,few clouds,-4.2761,-55.9836,Hotel Campos
146,Ahipara,NZ,76.51,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
147,Hobart,AU,65.05,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
148,Rocha,UY,62.17,clear sky,-34.4833,-54.3333,Hotel Arrarte
149,Sao Joao Da Barra,BR,73.15,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
150,Hualmay,PE,69.04,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
151,Auki,SB,83.5,overcast clouds,-8.7676,160.7034,Auki Motel
152,Port Macquarie,AU,75.88,light rain,-31.4333,152.9167,Rydges Port Macquarie
153,Yar-Sale,RU,8.01,overcast clouds,66.8333,70.8333,Yalemd
154,Ribeira Grande,PT,63.75,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
156,Zlitan,LY,60.75,broken clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
157,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
159,Kruisfontein,ZA,65.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
160,Kerman,IR,33.66,clear sky,30.2832,57.0788,هتل آپارتمان آسام
164,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
165,Grand Gaube,MU,75.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
166,Nikolskoye,RU,15.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
167,Bushenyi,UG,58.1,broken clouds,-0.5853,30.2114,College View Guest House
168,Teknaf,BD,61.75,clear sky,20.8624,92.3058,Forestry Guesthouse
170,Maniago,IT,42.13,overcast clouds,46.1706,12.7078,Hotel Al Giardino
171,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
172,Khandbari,NP,47.84,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
173,Bandarbeyla,SO,75.67,few clouds,9.4942,50.8122,JABIR HOTEL
175,Sibolga,ID,75.87,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
177,Bend,US,25.88,light snow,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
178,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
179,Narsaq,GL,37.62,scattered clouds,60.9167,-46.05,Sleep In Narsaq
183,Mitchell,US,31.98,overcast clouds,43.7094,-98.0298,Kelly Inn & Suites
184,Emerald,AU,79.34,overcast clouds,-23.5333,148.1667,The Irish Village
185,Hirata,JP,33.82,light shower snow,35.4333,132.8167,Hirata Maple Hotel
186,Tuy Hoa,VN,73.51,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
187,Quatre Cocos,MU,75.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
188,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
189,Venice,US,69.84,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
190,Najran,SA,56.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
191,Xining,CN,11.48,few clouds,36.6167,101.7667,Super Leisure Hotel
193,Ancud,CL,67.53,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
194,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
195,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
196,Ponta Delgada,PT,65.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
197,Canico,PT,69.01,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
198,Zlobin,HR,38.5,scattered clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
199,Puerto Madero,MX,80.8,clear sky,14.7208,-92.4215,Hospedaje madero
200,Berwick,US,42.15,few clouds,41.0545,-76.2333,The White Birch Inn B & B
201,Hamilton,US,50.94,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
202,Patitirion,GR,57.38,broken clouds,39.15,23.8667,Pension Votsi
203,Hun,LY,56.26,overcast clouds,29.1268,15.9477,Alrwasi Hotel
204,Abu Kamal,SY,43.03,clear sky,34.4506,40.9171,محطة التلفاز
205,Japura,ID,73.2,broken clouds,-0.3167,102.35,Rumah mbah Jamah
206,Kaitangata,NZ,58.93,light rain,-46.2817,169.8464,Kaitangata Motor Camp
209,Ornskoldsvik,SE,9.55,scattered clouds,63.2909,18.7153,ファーストホテル スタット
210,Tasiilaq,GL,17.76,clear sky,65.6145,-37.6368,The Red House
212,Hithadhoo,MV,81.61,scattered clouds,-0.6,73.0833,Scoop Guest House
213,Hobyo,SO,77.72,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
214,Zlatoust,RU,7.36,overcast clouds,55.1711,59.6508,Bellmont
215,Benghazi,LY,57.11,scattered clouds,32.1167,20.0667,Tibesti Hotel
216,Katsuura,JP,45.19,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
217,Axim,GH,80.24,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
